Date,GOOGLE,AMZN
11/2/07,355.980988,85.980003
11/5/07,363.188202,84.370003
11/6/07,371.266266,87.269997
11/7/07,366.836823,87.040001
11/8/07,347.267273,83.580002
11/9/07,332.317322,78.889999
11/12/07,316.351349,77
11/13/07,330.605591,79.860001
11/14/07,321.161163,78.510002
11/15/07,315.140137,77.849998
11/16/07,317.132141,78.599998
11/19/07,313.238251,79.18
11/20/07,324.594604,80.389999
11/21/07,330.590576,79.760002
11/23/07,338.68869,81.43
11/26/07,333.333344,81.300003
11/27/07,337.122131,85.589996
11/28/07,346.476471,90.300003
11/29/07,348.848846,89.150002
11/30/07,346.846832,90.559998
12/3/07,341.10611,90.910004
12/4/07,342.422424,94.410004
12/5/07,349.604614,93.190002
12/6/07,357.987976,94.209999
12/7/07,357.792786,94.309998
12/10/07,359.56958,93.019997
12/11/07,349.949951,90.75
12/12/07,350.025024,91.279999
12/13/07,347.372375,92.400002
12/14/07,345.325317,89.080002
12/17/07,334.949951,85.089996
12/18/07,337.012024,86.889999
12/19/07,339.024017,89.379997
12/20/07,345.190186,90.580002
12/21/07,348.693695,91.260002
12/24/07,350.715729,91.010002
12/26/07,355.775787,92.849998
12/27/07,350.720734,94.25
12/28/07,351.616608,94.449997
12/31/07,346.08609,92.639999
1/2/08,342.937927,96.25
1/3/08,343.007996,95.209999
1/4/08,328.828827,88.790001
1/7/08,324.949951,88.82
1/8/08,316.156158,87.879997
1/9/08,326.926941,85.220001
1/10/08,323.68869,84.260002
1/11/08,319.444458,81.080002
1/14/08,327.237244,82.870003
1/15/08,319.144135,80.239998
1/16/08,308.283295,80.349998
1/17/08,300.695709,80.120003
1/18/08,300.425415,79.760002
1/22/08,292.467468,78.480003
1/23/08,274.584595,73.970001
1/24/08,287.532532,77.669998
1/25/08,283.48349,77.599998
1/28/08,278.26828,75.82
1/29/08,275.535522,73.949997
1/30/08,274.409424,74.209999
1/31/08,282.432434,77.699997
2/1/08,258.208221,74.629997
2/4/08,247.962967,73.949997
2/5/08,253.653656,72.089996
2/6/08,251.10611,68.489998
2/7/08,252.727722,70.910004
2/8/08,258.603607,73.5
2/11/08,260.840851,75.190002
2/12/08,259.304291,74.449997
2/13/08,267.577576,77.730003
2/14/08,266.391388,75.800003
2/15/08,265.085083,72.959999
2/19/08,254.729736,72.080002
2/20/08,254.754761,73.639999
2/21/08,251.681686,69.900002
2/22/08,254.15416,72.080002
2/25/08,243.46347,73.269997
2/26/08,232.327332,71.690002
2/27/08,236.666672,70.870003
2/28/08,237.932938,67.849998
2/29/08,235.825821,64.470001
3/3/08,228.738739,62.43
3/4/08,222.522522,65.339996
3/5/08,224.074081,64.989998
3/6/08,216.566574,62.740002
3/7/08,216.891891,64.089996
